ETC_20150211_000001	케파	Kepa
ETC_20150211_000002	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 	Is not a very strong monster, but Do~u~erugopunida pour tears badly from attack Hetodagan eyes.
ETC_20150211_000003	대형 케파	Large Kepa
ETC_20150211_000004	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.	There are people who want to display and sometimes eat Eritokepa, but you wish to come Mali so.
ETC_20150211_000005	붉은 케파	Red Kepa
ETC_20150211_000006	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.	Unlike the normal recognition, red Kepa located in the circular Kepa.
ETC_20150211_000007	중독된 케파	Kepa you are addicted
ETC_20150211_000008	몬스터	Monster
ETC_20150211_000009	하밍	Hamming
ETC_20150211_000010	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.	Hamin is relatively easy to handle monster, but the outer shell is very stiff.
ETC_20150211_000011	치넨시	Chinency
ETC_20150211_000012	보기와 달리 식물의 줄기가 변형된 몬스터입니다.	Unlike the view is a monster that stalks of the plant has been transformed.
ETC_20150211_000013	변이 치넨시	Mutant Chinency
ETC_20150211_000014	유코푸스	Yukopus
ETC_20150211_000015	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.	The internal structure Yupokus is and unknown field of research.
ETC_20150211_000016	푸른 유코푸스	Blue Yukopus
ETC_20150211_000017	회색 유코푸스	Gray Yukopus
ETC_20150211_000018	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.	Depending on the maturity, it is a monster to come challenged with a variety of techniques.
ETC_20150211_000019	포쿠본	Pokuborn
ETC_20150211_000020	노란 포쿠본	Yellow Pokuborn
ETC_20150211_000021	푸른 포쿠본	Blue Pokuborn
ETC_20150211_000022	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.	Although there are many other notes, please do not adhere dash.
ETC_20150211_000023	초록 포쿠본	Green Pokuborn
ETC_20150211_000024	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.	After the monster of also, that it can meat obtained is benefit.
ETC_20150211_000025	푸른 포쿠부	Blue Pokubu
ETC_20150211_000026	밴시	Vensi
ETC_20150211_000027	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.	Soul of people stepped Barudo~uru to Makai is shows in the world become a demon now for several reasons.
ETC_20150211_000028	붉은 밴시	Red Banshee
ETC_20150211_000029	사악한 망령	Evil Spirit
ETC_20150211_000030	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.	Soul that has not received the guidance of the goddess I'll be born in response to the control of the Asmodian.
ETC_20150211_000031	대형 밴시	Large Banshee
ETC_20150211_000032	벌통	Beehive
ETC_20150211_000033	푸른 벌통	Blue bee nest
ETC_20150211_000034	회색 벌통	Nest of Gurehachi
ETC_20150211_000035	붉은 벌통	Red beehive
ETC_20150211_000036	크루마보	Bushspider
ETC_20150211_000037	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.	In the shade of the forest, it is mainly monster that format was pest has become larger in size.
ETC_20150211_000038	검은 크루마보	Black Bushspider
ETC_20150211_000039	붉은 크루마보	Red Bushspider
ETC_20150211_000040	하얀 크루마보	White Crewmabow
ETC_20150211_000041	노란 크루마보	Yellow Bushspider
ETC_20150211_000042	구역질나는 디오니아	Disgusting Dionia
ETC_20150211_000043	디오니아 포자	Dionia Poza
ETC_20150211_000044	푸른 프라가라스	Blue Fragaras
ETC_20150211_000045	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.	There is no much change but was larger size than before deformation. In other words, it was a dangerous plant from before that.
ETC_20150211_000046	검은 프라가라스	Black Pragaras
ETC_20150211_000047	붉은 프라가라스	Red Fragaras
ETC_20150211_000048	부베 투사	Vubbe Fighter
ETC_20150211_000049	푸른 부베 투사	Blue Vubbe Fighter
ETC_20150211_000050	붉은 부베 투사	Red Vubbe fighter
ETC_20150211_000051	부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.	It is not known whether the Vubbe Fghters are trained to be or born that way.
ETC_20150211_000052	골렘	Golem
ETC_20150211_000053	회색 골렘	Gray Golem
ETC_20150211_000054	미듀쟈	Meduja
ETC_20150211_000055	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.	Some people use a Mide~yu child, and to be able to contact the soul dead.
ETC_20150211_000056	푸른 미듀쟈	Blue Meduja
ETC_20150211_000057	초록 미듀쟈	Green Meduja
ETC_20150211_000058	붉은 미듀쟈	Red Meduja
ETC_20150211_000059	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.	Researchers, there is a soul in the plant, that is it deformation is called Mide~yu.
ETC_20150211_000060	미듀쟈 유충	Meduja Larva
ETC_20150211_000061	엘라가노스	Elaganos
ETC_20150211_000062	바이트	Bite
ETC_20150211_000063	어떤 사람들은 이들에게 물리느니 화살에 맞는 것이 낫다고 합니다.	Some people, you have the better they to meet the physical Toka arrow.
ETC_20150211_000064	푸라기	Puragi
ETC_20150211_000065	루클리스 내전 당시 마족들이 이들을 은밀히 투입하여 루클리스 병사들을 공격한 것은 역사의 감춰진 비밀입니다.	Rukururesu of civil war at that time Asmodian attacked Rukururesu soldier was secretly turned on them is a secret that has been hidden history.
ETC_20150211_000066	푸른 푸라기	Blue Puragi
ETC_20150211_000067	푸라기 중에서도 이들은 특히 살생과 탈취를 좋아합니다.	Pura among other group, I like deodorizing with these biocides.
ETC_20150211_000068	초록 푸라기	Green Puragi
ETC_20150211_000069	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다	I have never seen anyone is in the mask of straw capped to face
ETC_20150211_000070	붉은 푸라기	Red Puragi
ETC_20150211_000071	대형 푸라기	Large Puragi
ETC_20150211_000072	지그리	Zigri
ETC_20150211_000073	갈색 지그리	Brown Zigri
ETC_20150211_000074	살육을 즐기는 마족의 졸개입니다.	Enjoy the slaughter is minions of Asmodian.
ETC_20150211_000075	검은 지그리	Black Zigri
ETC_20150211_000076	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.	This Asmodian of minions is Masu Farugechigo appeared around the whole world.
ETC_20150211_000077	붉은 지그리	Red zigri
ETC_20150211_000078	피셔맨	Fisherman
ETC_20150211_000079	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.	Mutant Fisherman
ETC_20150211_000080	푸른 피셔맨	Blue Fisherman
ETC_20150211_000081	초록 피셔맨	Green Fisherman
ETC_20150211_000082	붉은 피셔맨	Red Fisherman
ETC_20150211_000083	피셔맨들의 행태는 설명되지 않는 부분이 많습니다.	Fisherman of action is often part that can not be explained.
ETC_20150211_000084	그리바루	Gribaru
ETC_20150211_000085	머리의 줄기는 탐지, 유인 등 여러 목적으로 사용됩니다.	Head of stem detection, will be used for various purposes such as attractants.
ETC_20150211_000086	빅그리바루	Big Gribaru
ETC_20150211_000087	가시숲 그리바	Thorn Forest Griba
ETC_20150211_000088	메슘	Matsum
ETC_20150211_000089	메슘이 동식물 혹은 어떤 광물에서 기원한 몬스터인지는 중요하지 않습니다. 알아야 할 것은 그 위험성입니다.	Meshumu is whether the monsters that were derived from plants and animals and what mineral is not important. Thing you should know is that risk.
ETC_20150211_000090	메슘마	Matsuma
ETC_20150211_000091	분신 미르티스	Mirtis Ego
ETC_20150211_000092	몰렉	Molich
ETC_20150211_000093	미니 그리바	Mini Griba
ETC_20150211_000094	초록 그리바	Green Griba
ETC_20150211_000095	붉은 그리바	Red Griba
ETC_20150211_000096	밝은 색이라 눈에 잘 보이기는 하지만, 그렇다고 피하기 쉽지는 않습니다.	It looks to bright colors and eye. However, just because it is not easy avoid.
ETC_20150211_000097	노란 그리바	Yellow Griba
ETC_20150211_000098	대형 붉은 그리바	Large Red Griba
ETC_20150211_000099	빅 그리바	Big Griba
ETC_20150211_000100	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.	There are words that someone expresses his or her appreciation the people, hard to even eat prevent monsters.
ETC_20150211_000101	푸른 빅 그리바	Big Blue Griba
ETC_20150211_000102	크고 강하고 질기지만 일부러 사냥하러 다니기에는 꺼림직한 몬스터입니다.	Bother going to hunt large strongly crunchy is the monster that was Korimujiku.
ETC_20150211_000103	초록 빅 그리바	Green Big Griba
ETC_20150211_000104	붉은 빅 그리바	Red Big Griba
ETC_20150211_000105	늙은케파	Old Kepa
