QUEST_20150211_000001	퀘스트 수정이 필요한 유저를 선택해주세요.	Please select the required user quest fixes.
QUEST_20150211_000002	여신 바카리네의 상	Statue of Goddess Vakarine
QUEST_20150211_000003	지역을 선택해주세요.	Please select the region.
QUEST_20150211_000004	선택	Selection
QUEST_20150211_000005	아이템을 선택해주세요.	Please select an item.
QUEST_20150211_000006	그룹 선택	Select a group
QUEST_20150211_000007	치트 스타트 그룹을 선택하세요.	Please select the cheat start group.
QUEST_20150211_000008	존 선택	John selection
QUEST_20150211_000009	시작할 존을 선택하세요.	Please select the start zone.
QUEST_20150211_000010	전직 선택	Original selection
QUEST_20150211_000011	원하시는 직업을 선택하세요.	Please select your desired profession.
QUEST_20150211_000012	보코르 마스터	Bokor Master
QUEST_20150211_000013	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.	You want to know about this slate? {Nl} I'll show you the vision of the one who made this slate
QUEST_20150211_000014	여신 라이마	Goddess Laima
QUEST_20150211_000015	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}	By the time you see this revelation, a long time must have passed by. {Nl} I am Laima, the Goddess of Fate and Luck. {Nl}
QUEST_20150211_000016	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}	 When I made this revelation to 600 years ago, I saw a lot of grief and death. {Nl} Your seeing this revelation would mean that all the I predicted have become reality. {Nl}
QUEST_20150211_000017	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}	The first disaster was cause by the Demons, and all the Goddesses may have disappeared. {Nl} I know all of this beforehand and tried my best to prevent it from happening, but my power was not enough. {Nl}
QUEST_20150211_000018	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}	I walked through the long path of predictions to find the answer. {Nl} At the end of the dream was you.. The Savior. {Nl}
QUEST_20150211_000019	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}	However, knowing my power to foresee fate, the Demons would not have left me alone {nl}so I had to hide myself until I meet you. {Nl}
QUEST_20150211_000020	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}	I decided to divide and put myself in multiple of revelations. {Nl} Making and hiding myself in revelations around the kingdom continued for a thousand years. {Nl}
QUEST_20150211_000021	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.	Dear Savior. {Nl} In order for me to stop the Demons, {nl}you need to find all the revelations that I have hidden in the Axis of Time.
QUEST_20150211_000022	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}	The burden of the sacred mission could press down your shoulders. {nl} . {Nl}
QUEST_20150211_000023	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}	However, I can save you only with me this world. {Nl}
QUEST_20150211_000024	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.	It was left to the next folded invitation paladin. {Nl} most very We look forward from the high garden.
QUEST_20150211_000025	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.	Evil forces and will be but I do not feel at all. {Nl} Then, this revelation is true of Lima goddess .. just awesome.
QUEST_20150211_000026	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..	Now, I will return right ska-like above. {Nl} I will tell him if whether you where to go. {Nl} as blessing of goddess is put in your future ..
QUEST_20150211_000027	원하는 스마트젠을 선택하세요.	Please select the required smart Jen.
QUEST_20150211_000028	윌리엄	William
QUEST_20150211_000029	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.	Fee is 100 silver. {Nl} Better yet this Sajo if Hechoga the middle of the monster.
QUEST_20150211_000030	캔버그	Cans bug
QUEST_20150211_000031	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.	Fee is 100 silver. {Nl} operating costs, It is some amount of money that has been included, such as personnel expenses.
QUEST_20150211_000032	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..	In free some .. sorry. {Nl} acyl a market than people.
QUEST_20150211_000033	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.	I because is not free. It is what it is that there should not be that have also been in the {nl} How much revelation bidder.
QUEST_20150211_000034	방랑 상인	Wandering merchant
QUEST_20150211_000035	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?	This dainty body, it's fluff book of dandelion that wandering is invited to stem style that was to be introduced. {Nl} Getoso this way and also try to look at once good thing mysterious edge I met?
QUEST_20150211_000036	크리스티나	Christina
QUEST_20150211_000037	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.	Welcome. {Nl} Are you looking for friends you can get along with? {Nl} You can't find better companions for your travel than these guys.
QUEST_20150211_000038	컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있어요.{nl}좀 더 애정이 가는 컴패니언이라면 멋진 장비를 사줄 수도 있겠지요.{nl}	You can make your companions watch you fight or train special attributes. {nl} If you become more affectionate, you can even buy cool equipment for it. {nl}
